prevo1,prevh1,prevl1,prevv1,prevp2,prevo2,prevh2,prevl2,prevv2,prevp3,prevo3,prevh3,prevl3,prevv3,prevp4,prevo4,prevh4,prevl4,prevv4,prevp5,prevo5,prevh5,prevl5,prevv5,closing
3162.81,3232.02,3057.84,1120000,3162.93,3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,3140.71
3011.88,3184.84,2899.24,1440000,3012.07,3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,3162.93
3158.3,3188.49,2949.66,1250000,3158,2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,3012.07
2889.58,3169.74,2867.58,64840,2889.43,2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,3158
2827.23,2946.62,2726.04,1060000,2827.21,2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2889.43
2725.28,2842.95,2533.51,1650000,2725.29,2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2827.21
2506.5,2766.46,2462.32,1230000,2506.65,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2725.29
2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2506.65
2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2608.04
2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2556.23
2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2532.19
2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2460.95
2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2380.93
2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2299.11
2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2300.22
2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,2229.53
2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,2189.79
2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,2151.85
2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,2123.61
1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,2024.58
1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1994.49
1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1786.07
1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1818.07
1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1892.42
1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,1897.98
1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,1878.2
1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,1917.21
1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,1994.64
2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,1940.72
2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2035.09
2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2139.35
2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2111.12
2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2145.89
2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2120.22
2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2316.57
2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2322.72
2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2196.16
2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2323.22
2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2224.7
2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,2154.78
2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,2109.11
2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,2273.84
2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,2158.71
1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,2083.09
1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1979.88
1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1830.62
1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,1810.57
1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,1989.14
1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,1968.39
1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,1876.66
2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,1891.18
2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2243.86
2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2166.91
2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2229.53
2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2371.62
2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2367.28
2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2543.83
2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2581.48
2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2508.27
2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2368.47
2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2351.45
2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2469.97
2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2628.98,2688.75,2814.02,2555.98,2550000,2606.23
2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2628.98,2688.75,2814.02,2555.98,2550000,2686.5,2856.63,2856.63,2557.71,2470000,2510.65
2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2628.98,2688.75,2814.02,2555.98,2550000,2686.5,2856.63,2856.63,2557.71,2470000,2853.35,2705.05,2889.19,2666.39,1090000,2592.63
2628.43,2743.53,2614.48,756360,2628.98,2688.75,2814.02,2555.98,2550000,2686.5,2856.63,2856.63,2557.71,2470000,2853.35,2705.05,2889.19,2666.39,1090000,2706.1,2633.74,2801,2554.88,2600000,2713.66
2688.75,2814.02,2555.98,2550000,2686.5,2856.63,2856.63,2557.71,2470000,2853.35,2705.05,2889.19,2666.39,1090000,2706.1,2633.74,2801,2554.88,2600000,2633.67,2707.94,2738.23,2529.73,2450000,2628.98
2856.63,2856.63,2557.71,2470000,2853.35,2705.05,2889.19,2666.39,1090000,2706.1,2633.74,2801,2554.88,2600000,2633.67,2707.94,2738.23,2529.73,2450000,2708.47,2386.93,2713.98,2279.42,2830000,2686.5
2705.05,2889.19,2666.39,1090000,2706.1,2633.74,2801,2554.88,2600000,2633.67,2707.94,2738.23,2529.73,2450000,2708.47,2386.93,2713.98,2279.42,2830000,2386.1,2276.97,2465.84,2181.93,2800000,2853.35
2633.74,2801,2554.88,2600000,2633.67,2707.94,2738.23,2529.73,2450000,2708.47,2386.93,2713.98,2279.42,2830000,2386.1,2276.97,2465.84,2181.93,2800000,2276.07,2411.68,2567.42,2207.21,2940000,2706.1
2707.94,2738.23,2529.73,2450000,2708.47,2386.93,2713.98,2279.42,2830000,2386.1,2276.97,2465.84,2181.93,2800000,2276.07,2411.68,2567.42,2207.21,2940000,2414.29,2742.39,2760.17,2332.43,3260000,2633.67
