Date,prevo1,prevh1,prevl1,prevv1,prevp2,prevo2,prevh2,prevl2,prevv2,prevp3,prevo3,prevh3,prevl3,prevv3,prevp4,prevo4,prevh4,prevl4,prevv4,prevp5,prevo5,prevh5,prevl5,prevv5,closing
3-Aug-21,2608.01,2631.43,2445.49,158450,2608.04,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2506.65
2-Aug-21,2556.07,2664.73,2513.51,970670,2556.23,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2608.04
1-Aug-21,2530.94,2696.38,2515.26,1200000,2532.19,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2556.23
31-Jul-21,2461.08,2551.68,2421.7,507080,2460.95,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2532.19
30-Jul-21,2380.59,2467.4,2320.8,1030000,2380.93,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2460.95
29-Jul-21,2299.46,2397.71,2269.15,642750,2299.11,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2380.93
28-Jul-21,2300.21,2343.49,2246.23,968940,2300.22,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2299.11
27-Jul-21,2230.24,2318.68,2152.92,1250000,2229.53,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2300.22
26-Jul-21,2189.74,2430.01,2174.44,1890000,2189.79,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,2229.53
25-Jul-21,2166.98,2195.03,2108.74,786940,2151.85,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,2189.79
24-Jul-21,2124,2162.29,2106.71,907110,2123.61,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,2151.85
23-Jul-21,2024.51,2129.66,2000.27,961670,2024.58,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,2123.61
22-Jul-21,1994.61,2043.26,1952.31,1020000,1994.49,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,2024.58
21-Jul-21,1786.18,2029.51,1758.64,1510000,1786.07,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1994.49
20-Jul-21,1818.07,1840.36,1720.7,1200000,1818.07,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1786.07
19-Jul-21,1891.43,1915.15,1807.19,802780,1892.42,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1818.07
18-Jul-21,1898.01,1988.24,1881.6,829770,1897.98,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1892.42
17-Jul-21,1877,1917.8,1851.97,623520,1878.2,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,1897.98
16-Jul-21,1917.21,1960.21,1852.42,619620,1917.21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,1878.2
15-Jul-21,1994.73,2038.91,1884.81,645060,1994.64,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,1917.21
14-Jul-21,1940.48,2017.99,1868.45,1050000,1940.72,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,1994.64
13-Jul-21,2035.09,2042.61,1920.62,717850,2035.09,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,1940.72
12-Jul-21,2139.44,2167.6,2008.66,540100,2139.35,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2035.09
11-Jul-21,2110.9,2173.34,2081.62,724840,2111.12,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2139.35
10-Jul-21,2146.15,2191.3,2078.43,929320,2145.89,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2111.12
9-Jul-21,2120.05,2185.62,2066.09,1420000,2120.22,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2145.89
8-Jul-21,2316.21,2322.47,2095.92,1820000,2316.57,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2120.22
7-Jul-21,2322.74,2402.68,2296.43,1320000,2322.72,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2316.57
6-Jul-21,2196.25,2347.47,2194.2,1780000,2196.16,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2322.72
5-Jul-21,2322.6,2322.6,2163.09,822950,2323.22,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2196.16
4-Jul-21,2224.7,2386.2,2222.95,1390000,2224.7,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2323.22
3-Jul-21,2154.53,2236.97,2115.8,1280000,2154.78,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2224.7
2-Jul-21,2108.58,2158.7,2019.75,1390000,2109.11,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,2154.78
1-Jul-21,2274.5,2274.63,2077.56,1710000,2273.84,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,2109.11
30-Jun-21,2158.32,2281.55,2090.61,1900000,2158.71,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,2273.84
29-Jun-21,2083.48,2241.86,2076.17,898060,2083.09,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,2158.71
28-Jun-21,1981.24,2142.84,1962.89,2190000,1979.88,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,2083.09
27-Jun-21,1830.42,1980.7,1808.59,1870000,1830.62,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1979.88
26-Jun-21,1810.53,1850.4,1719.32,1990000,1810.57,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1830.62
25-Jun-21,1989.77,2017.47,1793.47,1650000,1989.14,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,1810.57
24-Jun-21,1968.76,2033.96,1886.74,1640000,1968.39,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,1989.14
23-Jun-21,1877.28,2043.1,1823.57,1770000,1876.66,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,1968.39
22-Jun-21,1890.95,1994.32,1707.24,2840000,1891.18,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,1876.66
21-Jun-21,2244.25,2257.86,1868.32,2690000,2243.86,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,1891.18
20-Jun-21,2166.3,2276.83,2045.03,1420000,2166.91,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2243.86
19-Jun-21,2229.53,2276.7,2164.14,1080000,2229.53,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2166.91
18-Jun-21,2372.1,2376.62,2142.74,778790,2371.62,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2229.53
17-Jun-21,2367.78,2459.11,2309.08,1060000,2367.28,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2371.62
16-Jun-21,2544.35,2552.12,2353.24,1370000,2543.83,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2367.28
15-Jun-21,2581.42,2637.9,2512.39,1950000,2581.48,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2543.83
14-Jun-21,2508.49,2606.91,2467.61,1790000,2508.27,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2581.48
13-Jun-21,2368.68,2547.9,2311.96,1620000,2368.47,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2508.27
12-Jun-21,2351.45,2448.04,2260.8,1800000,2351.45,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2368.47
11-Jun-21,2470.04,2493.48,2324.21,587180,2469.97,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2351.45
10-Jun-21,2607.45,2615.46,2432.41,1290000,2606.23,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2469.97
9-Jun-21,2507.86,2620.74,2408.37,2320000,2510.65,2592.12,2618.7,2320.64,75180,2592.63,2713.52,2842.88,2581.24,3010000,2713.66,2628.43,2743.53,2614.48,756360,2628.98,2688.75,2814.02,2555.98,2550000,2606.23
